the,187,3.91132%
a,105,2.19619%
he,102,2.13344%
and,95,1.98703%
to,93,1.9452%
was,87,1.8197%
of,75,1.56871%
his,67,1.40138%
t,62,1.2968%
it,58,1.21314%
that,58,1.21314%
in,55,1.15039%
He,54,1.12947%
on,49,1.02489%
Dursley,47,0.983058%
I,47,0.983058%
s,45,0.941226%
as,41,0.857561%
had,39,0.815729%
Dumbledore,37,0.773897%
have,33,0.690232%
at,32,0.669316%
said,32,0.669316%
you,32,0.669316%
Mr,30,0.627484%
Professor,30,0.627484%
all,30,0.627484%
be,30,0.627484%
It,28,0.585652%
McGonagall,26,0.543819%
him,26,0.543819%
they,26,0.543819%
were,23,0.481071%
but,22,0.460155%
didn,22,0.460155%
for,22,0.460155%
out,22,0.460155%
Mrs,21,0.439239%
been,21,0.439239%
cat,21,0.439239%
her,21,0.439239%
Harry,20,0.418323%
she,20,0.418323%
people,19,0.397406%
The,17,0.355574%
d,17,0.355574%
into,17,0.355574%
over,17,0.355574%
them,17,0.355574%
very,17,0.355574%
with,16,0.334658%
You,15,0.313742%
back,15,0.313742%
not,15,0.313742%
Hagrid,14,0.292826%
re,14,0.292826%
something,14,0.292826%
street,14,0.292826%
up,14,0.292826%
can,13,0.27191%
if,13,0.27191%
so,13,0.27191%
this,13,0.27191%
about,12,0.250994%
could,12,0.250994%
couldn,12,0.250994%
know,12,0.250994%
Potter,11,0.230077%
down,11,0.230077%
name,11,0.230077%
no,11,0.230077%
there,11,0.230077%
what,11,0.230077%
Potters,10,0.209161%
around,10,0.209161%
by,10,0.209161%
even,10,0.209161%
eyes,10,0.209161%
here,10,0.209161%
man,10,0.209161%
never,10,0.209161%
saying,10,0.209161%
their,10,0.209161%
ve,10,0.209161%
would,10,0.209161%
But,9,0.188245%
Dudley,9,0.188245%
boy,9,0.188245%
cloak,9,0.188245%
day,9,0.188245%
did,9,0.188245%
just,9,0.188245%
like,9,0.188245%
looked,9,0.188245%
owls,9,0.188245%
see,9,0.188245%
thought,9,0.188245%
Drive,8,0.167329%
Privet,8,0.167329%
are,8,0.167329%
last,8,0.167329%
little,8,0.167329%
me,8,0.167329%
now,8,0.167329%
seen,8,0.167329%
think,8,0.167329%
who,8,0.167329%
A,7,0.146413%
And,7,0.146413%
Dursleys,7,0.146413%
They,7,0.146413%
an,7,0.146413%
because,7,0.146413%
corner,7,0.146413%
from,7,0.146413%
gone,7,0.146413%
got,7,0.146413%
ll,7,0.146413%
much,7,0.146413%
next,7,0.146413%
number,7,0.146413%
off,7,0.146413%
say,7,0.146413%
sister,7,0.146413%
son,7,0.146413%
though,7,0.146413%
wall,7,0.146413%
when,7,0.146413%
which,7,0.146413%
why,7,0.146413%
As,6,0.125497%
Know,6,0.125497%
Muggles,6,0.125497%
She,6,0.125497%
Voldemort,6,0.125497%
We,6,0.125497%
Who,6,0.125497%
before,6,0.125497%
called,6,0.125497%
drills,6,0.125497%
fell,6,0.125497%
found,6,0.125497%
four,6,0.125497%
good,6,0.125497%
himself,6,0.125497%
how,6,0.125497%
looking,6,0.125497%
mind,6,0.125497%
nothing,6,0.125497%
reason,6,0.125497%
right,6,0.125497%
seemed,6,0.125497%
sir,6,0.125497%
suddenly,6,0.125497%
turned,6,0.125497%
two,6,0.125497%
until,6,0.125497%
went,6,0.125497%
yes,6,0.125497%
No,5,0.104581%
Well,5,0.104581%
Yes,5,0.104581%
almost,5,0.104581%
any,5,0.104581%
anything,5,0.104581%
being,5,0.104581%
blankets,5,0.104581%
few,5,0.104581%
get,5,0.104581%
going,5,0.104581%
half,5,0.104581%
head,5,0.104581%
large,5,0.104581%
left,5,0.104581%
lemon,5,0.104581%
letter,5,0.104581%
made,5,0.104581%
might,5,0.104581%
my,5,0.104581%
night,5,0.104581%
normal,5,0.104581%
one,5,0.104581%
only,5,0.104581%
owl,5,0.104581%
put,5,0.104581%
sign,5,0.104581%
sitting,5,0.104581%
stars,5,0.104581%
still,5,0.104581%
things,5,0.104581%
today,5,0.104581%
too,5,0.104581%
wearing,5,0.104581%
will,5,0.104581%
window,5,0.104581%
If,4,0.0836645%
asleep,4,0.0836645%
bundle,4,0.0836645%
celebrating,4,0.0836645%
clicked,4,0.0836645%
cloaks,4,0.0836645%
come,4,0.0836645%
daylight,4,0.0836645%
dear,4,0.0836645%
door,4,0.0836645%
front,4,0.0836645%
garden,4,0.0836645%
gave,4,0.0836645%
hair,4,0.0836645%
has,4,0.0836645%
heard,4,0.0836645%
house,4,0.0836645%
inside,4,0.0836645%
is,4,0.0836645%
its,4,0.0836645%
kill,4,0.0836645%
light,4,0.0836645%
long,4,0.0836645%
look,4,0.0836645%
lot,4,0.0836645%
morning,4,0.0836645%
motorcycle,4,0.0836645%
must,4,0.0836645%
or,4,0.0836645%
past,4,0.0836645%
place,4,0.0836645%
road,4,0.0836645%
sat,4,0.0836645%
some,4,0.0836645%
suppose,4,0.0836645%
tabby,4,0.0836645%
tell,4,0.0836645%
then,4,0.0836645%
told,4,0.0836645%
took,4,0.0836645%
walked,4,0.0836645%
way,4,0.0836645%
we,4,0.0836645%
well,4,0.0836645%
where,4,0.0836645%
wouldn,4,0.0836645%
Albus,3,0.0627484%
